index	hemisphere	x_center	y_center	z_center	lobe	sublobe	power_network	yeo7_network	yeo17_network	SourceAtlasName	SourceAtlasIndex
70	L	-26.79	-39.6	55.42	Parietal	superiorparietal	Somatomotor	7Networks_2	17Networks_3	russome-left	70
71	L	-36.85	-45.1	54.84	Parietal	superiorparietal	Somatomotor	7Networks_3	17Networks_6	russome-left	71
72	L	-36.46	-36.4	48.12	Parietal	superiorparietal	Somatomotor	7Networks_3	17Networks_6	russome-left	72
73	L	-40.43	-41.3	45.84	Parietal	superiorparietal	Dorsal_Attention	7Networks_3	17Networks_6	russome-left	73
74	L	-38.43	-43.86	37.99	Parietal	supramarginal	Frontoparietal_1	7Networks_6	17Networks_12	russome-left	74
75	L	-44.63	-50.71	38.66	Parietal	supramarginal	Frontoparietal_1	7Networks_6	17Networks_12	russome-left	75
76	L	-49.79	-11.95	30.23	Frontal	precentral	Somatomotor	7Networks_2	17Networks_4	russome-left	76
77	L	-56.34	-13.49	26.28	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_4	russome-left	77
78	L	-52.1	-17.84	46.87	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	russome-left	78
79	L	-54.73	-25.92	38.45	Parietal	postcentral	Somatomotor	7Networks_2	17Networks_3	russome-left	79
80	L	-55.98	-35.25	39.64	Parietal	supramarginal	Dorsal_Attention	7Networks_3	17Networks_12	russome-left	80
81	L	-34.14	-32.26	52.21	Parietal	superiorparietal	Somatomotor	7Networks_2	17Networks_3	russome-left	81
82	L	-43.21	-29.67	38.04	Parietal	superiorparietal	Somatomotor	7Networks_3	17Networks_6	russome-left	82
83	L	-47.6	-27.93	49.08	Parietal	postcentral	Somatomotor	7Networks_2	17Networks_3	russome-left	83
84	L	-36.81	-26.29	55.27	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	russome-left	84
85	L	-42.93	-23.15	47.33	Parietal	postcentral	Somatomotor	7Networks_2	17Networks_3	russome-left	85
86	L	-46.62	-18.47	39.15	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_4	russome-left	86
87	L	-36.83	-17.5	38.09	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	russome-left	87
88	L	-41.95	-57.5	27.77	Parietal	supramarginal	Frontoparietal_1	7Networks_6	17Networks_13	russome-left	88
89	L	-42.65	-63.07	40.3	Parietal	inferiorparietal	Frontoparietal_1	7Networks_7	17Networks_16	russome-left	89
90	L	-37.47	-68.38	26.97	Parietal	inferiorparietal	DMN	7Networks_7	17Networks_17	russome-left	90
91	L	-46.38	-62.27	17.42	Occipital	inferiorparietal	DMN	7Networks_7	17Networks_17	russome-left	91
92	L	-52.19	-59.67	9.35	Occipital	middletemporal	Ventral_Attention	7Networks_4	17Networks_6	russome-left	92
93	L	-56.65	-44.66	6.54	Temporal	bankssts	Ventral_Attention	7Networks_4	17Networks_14	russome-left	93
94	L	-51.72	-49.66	36.51	Parietal	supramarginal	Cingulo_opercular	7Networks_4	17Networks_8	russome-left	94
95	L	-51.52	-44.64	31.48	Parietal	supramarginal	Cingulo_opercular	7Networks_4	17Networks_7	russome-left	95
96	L	-42.63	-37.72	24.43	Parietal	supramarginal	Cingulo_opercular	7Networks_2	17Networks_4	russome-left	96
97	L	-36.99	-38.63	16.33	Parietal	supramarginal	Cingulo_opercular	7Networks_2	17Networks_4	russome-left	97
98	L	-33.54	-32.33	16.32	Parietal	supramarginal	Cingulo_opercular	7Networks_2	17Networks_4	russome-left	98
99	L	-62.05	-35.07	-6.33	Temporal	middletemporal	Frontoparietal_1	7Networks_7	17Networks_13	russome-left	99
100	L	-46.17	-33.28	-2.44	Temporal	superiortemporal	Cingulo_opercular	7Networks_7	17Networks_17	russome-left	100
101	L	-52.61	-32.59	1.56	Temporal	bankssts	Cingulo_opercular	7Networks_7	17Networks_14	russome-left	101
102	L	-55.37	-33.63	11.56	Temporal	superiortemporal	Cingulo_opercular	7Networks_2	17Networks_14	russome-left	102
103	L	-47.99	-27.56	6.87	Temporal	superiortemporal	Cingulo_opercular	7Networks_2	17Networks_4	russome-left	103
104	L	-44.73	-23.13	8.46	Temporal	transversetemporal	Cingulo_opercular	7Networks_2	17Networks_4	russome-left	104
105	L	-45.49	-44.95	9.51	Temporal	bankssts	Ventral_Attention	7Networks_4	17Networks_14	russome-left	105
106	L	-53.72	-55.4	22.67	Parietal	supramarginal	Frontoparietal 2	7Networks_7	17Networks_17	russome-left	106
107	L	-53.76	-49.9	15.27	Parietal	supramarginal	Cingulo_opercular	7Networks_7	17Networks_14	russome-left	107
108	L	-56.25	-47.56	24.41	Parietal	supramarginal	Ventral_Attention	7Networks_7	17Networks_17	russome-left	108
109	L	-61.57	-41.72	17.76	Temporal	superiortemporal	Ventral_Attention	7Networks_2	17Networks_14	russome-left	109
